AuthorID,Author,Date,Content,Attachments,Reactions
7.57355E+17,neko neko#4061,2020-09-22 7:56,BTO ROKU 9/25 225c @.92 (scalp/day-trade) smaller size @here,,BullTrades (3)
7.57355E+17,neko neko#4061,2020-09-22 7:58,"BTO CVNA 9/25 250c @2.51 (scalp/day-trade) wasn't going to alert this one, but it has potential. smaller size of course.. @here",,BullTrades (1)
4.80583E+17,DCruz#3069,2020-09-22 8:03,BTO WMT 9/25 140c @.79 @here,,BullTrades (3)
7.57355E+17,neko neko#4061,2020-09-22 8:07,~50% on those 250c.. not a bad take profit level for those that are in. looking at 227.31 res,,"👍 (2),💯 (1),100000 (1),😆 (1),👀 (1)"
7.57355E+17,neko neko#4061,2020-09-22 8:10,ROKU should go here..,,
2.37845E+17,FunTrade#2237,2020-09-22 8:12,BTO AAPL 10/02 110P @3.1,,BullTrades (3)
7.57355E+17,neko neko#4061,2020-09-22 8:17,"[DDOG] - looking at 86.46 area for a bounce, if not SL.",,
7.57355E+17,neko neko#4061,2020-09-22 8:18,86.26 sorry **,,
4.80583E+17,DCruz#3069,2020-09-22 8:20,STC WMT 9/25 140c @.91 @here,,BullTrades (3)
2.37845E+17,FunTrade#2237,2020-09-22 8:22,STC TGT 10/16 145C @9.6 3/th,,BullTrades (3)
4.80583E+17,DCruz#3069,2020-09-22 8:38,BTO V 9/25 195p @1.02 (tight SL) @here,,BullTrades (2)
2.37845E+17,FunTrade#2237,2020-09-22 8:41,STC AAPL 10/02 110P @3.35 HALF,,BullTrades (3)
2.37845E+17,FunTrade#2237,2020-09-22 8:48,STC AAPL 10/02 110P @3.7 ALL,,
2.37845E+17,FunTrade#2237,2020-09-22 8:48,@here,,🍎 (4)
4.80583E+17,DCruz#3069,2020-09-22 8:51,STC V 9/25 195p @1.12 @here (holding 198 support it seems),,BullTrades (1)
2.37845E+17,FunTrade#2237,2020-09-22 8:51,BTO AAPL 09/25 110C @2.5,,"BullTrades (2),vince (2)"
4.80583E+17,DCruz#3069,2020-09-22 9:06,BTO TSLA 9/25 500c @6.6 @here,,BullTrades (2)
7.57355E+17,neko neko#4061,2020-09-22 9:07,WYNN we will keep on..  we will see. if you went big on this please size out on this pop.,,
7.57355E+17,neko neko#4061,2020-09-22 9:07,"A lot of you guys may not know who I am or how I trade, please take a gander at #🗣︱staff-introduction for my trade style.",,
7.57355E+17,neko neko#4061,2020-09-22 9:08,Sizing a bit smaller today w/ Powell speaking and our win on CVNA.. don't give money back to the market. Let's have fun trading.,,"👍 (7),💯 (7)"
2.69994E+17,Cblast#2108,2020-09-22 9:13,BTO SQ 160c 10/02 @ 3.15 @here,,BullTrades (12)
2.69994E+17,Cblast#2108,2020-09-22 9:13,"Swing trade Target: 158.90, Stop 148.22",,🚀 (6)
7.57355E+17,neko neko#4061,2020-09-22 9:24,BTO FSLY 100c 9/25 @ 1.25 (SCALP/DAY TRADE) quick one @here,,"BullTrades (2),👍 (2)"
7.57355E+17,neko neko#4061,2020-09-22 9:49,"Small accounts, think about locking in some profits here on FSLY and DDOG. both 25%. Our risk tolerance are different from each other.",,👍 (4)
7.57355E+17,neko neko#4061,2020-09-22 10:14,STC DDOG 9/25 95c @.43 @here I want you guys to lock in some profits here.,,BullTrades (3)
7.57355E+17,neko neko#4061,2020-09-22 10:32,Did I give you guys a good exit for FSLY?,,
7.57355E+17,neko neko#4061,2020-09-22 10:32,😅,,
7.57355E+17,neko neko#4061,2020-09-22 10:34,,https://cdn.discordapp.com/attachments/738943464259059752/758003361382531276/Screen_Shot_2020-09-22_at_9.34.35_AM.png,👍 (1)
4.80583E+17,DCruz#3069,2020-09-22 10:37,STC TSLA 9/25 500c @7 (safe exit) @here,,BullTrades (2)
2.37845E+17,FunTrade#2237,2020-09-22 10:50,STC AAPL 9/25 110C @2.2 No momentum,,
2.37845E+17,FunTrade#2237,2020-09-22 10:51,STC AAPL 09/25 110C @2.2,,BullTrades (2)
2.37845E+17,FunTrade#2237,2020-09-22 10:51,For the bot,,
3.96702E+17,Father#4214,2020-09-22 10:52,@here I avg'd down on BA 160c here. 155 seems to be strong support and has a triple bottom. New avg is 2.45. Manage your own risk.,,💯 (2)
7.57355E+17,neko neko#4061,2020-09-22 10:53,STC WYNN 9/25 80c @.18 stops on this one. @here ok to hold if small lot size...,,BullTrades (1)
7.57355E+17,neko neko#4061,2020-09-22 11:47,400% d-dawgz. you guys manage your own loads now 🙂,,🎉 (9)
2.37845E+17,FunTrade#2237,2020-09-22 11:53,BTO AMD 10/02 75C @3.95,,"BullTrades (3),👍 (8)"
7.57355E+17,neko neko#4061,2020-09-22 11:58,"93.35 next resistance DDOG. Half lot left thumbs up if you are still in the play, if not I will stop updating about this one",,👍 (2)
7.57355E+17,neko neko#4061,2020-09-22 12:22,"ddog players, make your trade free and pay yourself a little. we are swinging the rest.",,
7.57355E+17,neko neko#4061,2020-09-22 13:20,I will be trimming more FSLY on green. Have quite a swing list...,,
2.69994E+17,Cblast#2108,2020-09-22 13:40,"@here SQ update, we are at 50% here 10/2 expiration, trend reversal on the daily is at 157.68, im expecting us to break that level this week",,BullTrades (5)
7.57355E+17,neko neko#4061,2020-09-22 13:44,STC FSLY 100c 9/25 @ 1.25... . I have my rules and I abide by them,,👍 (1)
7.57355E+17,neko neko#4061,2020-09-22 13:44,bot not registering @EternalKing ?,,
3.96702E+17,Father#4214,2020-09-22 13:45,STC UPS 165c 9/25 @ 0.85 @here,,"BullTrades (1),👍 (1)"
3.96702E+17,Father#4214,2020-09-22 13:46,too slow of a mover- managing risk on UPS,,
7.57355E+17,neko neko#4061,2020-09-22 13:46,STC FSLY 100c 9/25 @ 1.25,,BullTrades (1)
7.57355E+17,neko neko#4061,2020-09-22 13:46,(for bot),,
2.37845E+17,FunTrade#2237,2020-09-22 13:47,STC AMD 10/02 75C @4.25 HALF and Moving my SL to buy price,,BullTrades (3)
3.96702E+17,Father#4214,2020-09-23 7:32,BTO LULU 375c 10/2 @ 0.5 @here,,"BullTrades (5),gains (2)"
3.96702E+17,Father#4214,2020-09-23 7:33,SL 317,,
7.57355E+17,neko neko#4061,2020-09-23 7:33,BTO MU 9/25 52c @.52 (scalp/day-trade) @here,,"BullTrades (4),👍 (2)"
4.80583E+17,DCruz#3069,2020-09-23 7:35,"BTO AAPL 10/2 120c @.68 @here 
SL 108",,BullTrades (4)
7.57355E+17,neko neko#4061,2020-09-23 7:36,STC MU 9/25 52c @.57 (scalp/day-trade) @here sell some....,,BullTrades (2)
2.69994E+17,Cblast#2108,2020-09-23 7:38,BTO FB 260c 9/25 @ 1.99 (scalp),,"BullTrades (8),🔥 (6)"
2.69994E+17,Cblast#2108,2020-09-23 7:38,@here,,
2.69994E+17,Cblast#2108,2020-09-23 7:41,"259.86 would be my target for scalp, we are over resistance now but will sell if we lose momentum",,👍 (3)
7.57355E+17,neko neko#4061,2020-09-23 7:41,"DDOG players, continue to hold a piece. sold most.",,
7.57355E+17,neko neko#4061,2020-09-23 7:42,want these ITM,,salute (2)
2.69994E+17,Cblast#2108,2020-09-23 7:43,STC FB 260c 9/25 @ 2.85 @here (43% scalp),,"BullTrades (5),🔥 (4),🤑 (4)"
4.80583E+17,DCruz#3069,2020-09-23 7:43,20% here on AAPL feel free to take some 🙂 @here,,fire (4)
7.57355E+17,neko neko#4061,2020-09-23 7:45,@here we will unload ddog at 1k% if you missed the 938%. no more updates on this one.,,"guhh (4),😎 (5),👍 (5)"
3.96702E+17,Father#4214,2020-09-23 7:50,"If you averaged down on BA yesterday, then you're green. Make sure you lock in profits @here",,
3.96702E+17,Father#4214,2020-09-23 7:53,UPS now ITM. Congrats if you held. Play now at $2.10 @here,,🔥 (3)
